Boozer Name & Address,Region,Part of London,Outside Space,coal,postcode,lat,lng
"Crate Brewery & Pizzeria, London E9 5EN",E,Hackney Wick,Canal,"Crate Brewery & Pizzeria, London E9 5EN",E9 5EN,51.542958,-0.023109
"The Scolt Head, 107A Culford Rd, London N1 4HT",E,Haggerston,Space at Front,"The Scolt Head, 107A Culford Rd, London N1 4HT",N1 4HT,51.543793,-0.081569
"Rosemary Branch, 2 Shepperton Rd, London N1 3DT",E,Haggerston,Space at Front,"Rosemary Branch, 2 Shepperton Rd, London N1 3DT",N1 3DT,51.537621,-0.08696
"Duke of York, 33 Downham Rd, Haggerston, London N1 5AA",E,Haggerston,Space at Front,"Duke of York, 33 Downham Rd, Haggerston, London N1 5AA",N1 5AA,51.538894,-0.077809
"The Talbot, 109 Mortimer Rd, London N1 4JY",E,Haggerston,Upstairs Terraces,"The Talbot, 109 Mortimer Rd, London N1 4JY",N1 4JY,51.542908,-0.079224
"The Adam & Eve Pub, 155 Homerton High St, London E9 6AS",E,Homerton,Beer Garden,"The Adam & Eve Pub, 155 Homerton High St, London E9 6AS",E9 6AS,51.548896,-0.040577
"The Spread Eagle 224 Homerton High St, London E9 6AS",E,Homerton,Beer Garden,"The Spread Eagle 224 Homerton High St, London E9 6AS",E9 6AS,51.548896,-0.040577
"Pub On The Park, 19 Martello St, London E8 3PE",E,London Fields,Beer Garden,"Pub On The Park, 19 Martello St, London E8 3PE",E8 3PE,51.541796,-0.058144
"The Crown and Shuttle, 226 Shoreditch High St, London E1 6PJ",E,Shoreditch,Beer Garden,"The Crown and Shuttle, 226 Shoreditch High St, London E1 6PJ",E1 6PJ,51.522489,-0.078241
"The Water Poet, 9-11 Folgate St, London E1 6BX",E,The City of London,Beer Garden,"The Water Poet, 9-11 Folgate St, London E1 6BX",E1 6BX,51.52098,-0.077351
"The Hemingway, 84 Victoria Park Rd, London E9 7JL",E,Victoria Park,Space at Front,"The Hemingway, 84 Victoria Park Rd, London E9 7JL",E9 7JL,51.537458,-0.0476
"Town of Ramsgate, 62 Wapping High St, London E1W 2PN",E,Wapping,River,"Town of Ramsgate, 62 Wapping High St, London E1W 2PN",E1W 2PN,51.503364,-0.062084
"The Dickens Inn, Marble Quay, London E1W 1UH",E,Wapping,River,"The Dickens Inn, Marble Quay, London E1W 1UH",E1W 1UH,51.50644,-0.070268
"The Captain Kidd, 108 Wapping High St, London E1W 2NE",E,Wapping,River,"The Captain Kidd, 108 Wapping High St, London E1W 2NE",E1W 2NE,51.503026,-0.060124
